"ID","ESCALE_DEPART","ESCALE_DESTINATION","CODE","DATE_CREATED"
"2235511","DLA","NCE","DLANCE","current_timestamp"
"2235512","EUN","BKK","EUNBKK","current_timestamp"
"2235513","DLA","LOS","DLALOS","current_timestamp"
"2235514","ORL","CMN","ORLCMN","current_timestamp"
"2235515","CMN","GYE","CMNGYE","current_timestamp"
"2235516","JED","MPL","JEDMPL","current_timestamp"
"2235517","NIM","MNL","NIMMNL","current_timestamp"
"2235518","ROB","LAD","ROBLAD","current_timestamp"
"2235519","ISB","DSS","ISBDSS","current_timestamp"
"2235520","BJL","NRT","BJLNRT","current_timestamp"
"2235521","FNA","IKA","FNAIKA","current_timestamp"
"2235522","MIA","NTE","MIANTE","current_timestamp"
"2235523","DFW","BKO","DFWBKO","current_timestamp"
"2235524","MEL","OPO","MELOPO","current_timestamp"
"2235525","FEZ","HRE","FEZHRE","current_timestamp"
"2235526","KZN","RAI","KZNRAI","current_timestamp"
"2235527","CAS","RIO","CASRIO","current_timestamp"
"2235528","SHA","PNR","SHAPNR","current_timestamp"
"2235529","RUH","AMM","RUHAMM","current_timestamp"
"2235530","TGD","AGP","TGDAGP","current_timestamp"
"2235531","ROB","RIC","ROBRIC","current_timestamp"
"2235532","YUL","ATZ","YULATZ","current_timestamp"
"2235533","LHR","BOS","LHRBOS","current_timestamp"
"2235534","ACC","SGN","ACCSGN","current_timestamp"
"2235535","TAS","BOM","TASBOM","current_timestamp"
"2235536","WAW","DSS","WAWDSS","current_timestamp"
"2235537","CDG","DJE","CDGDJE","current_timestamp"
"2235538","YIW","CMN","YIWCMN","current_timestamp"
"2235539","AGA","YYC","AGAYYC","current_timestamp"
"2235540","CKY","ROB","CKYROB","current_timestamp"
"2235541","BOD","OUD","BODOUD","current_timestamp"
"2235542","XRY","BKO","XRYBKO","current_timestamp"
"2235543","AGA","AJA","AGAAJA","current_timestamp"
"2235544","NYC","MED","NYCMED","current_timestamp"
"2235545","PNR","MAN","PNRMAN","current_timestamp"
"2235546","AGA","ARN","AGAARN","current_timestamp"
"2235547","BKO","ALG","BKOALG","current_timestamp"
"2235548","KTW","RAK","KTWRAK","current_timestamp"
